V Mag,Proper name,Bayer designation,Distance,Spectral class,Mass,Radius,Luminosity
"0.13
",b'Rigel',b'\xce\xb2 Ori\n',"860
","B8
","23
","78.9
","120,000
"
"0.13
",b'Rigel',b'\xce\xb2 Ori\n',"860
","B8
","23
","78.9
","120,000
"
"0.13
",b'Rigel',b'\xce\xb2 Ori\n',"860
","B8
","23
","78.9
","120,000
"
"0.34
",b'Procyon',b'\xce\xb1 CMi\n',"11.4
","F5
","1.5
","1.9
","7.7
"
"0.34
",b'Procyon',b'\xce\xb1 CMi\n',"11.4
","F5
","1.5
","1.9
","7.7
"
"0.34
",b'Procyon',b'\xce\xb1 CMi\n',"11.4
","F5
","1.5
","1.9
","7.7
"
"0.34
",b'Procyon',b'\xce\xb1 CMi\n',"11.4
","F5
","1.5
","1.9
","7.7
"
"0.34
",b'Procyon',b'\xce\xb1 CMi\n',"11.4
","F5
","1.5
","1.9
","7.7
"
"0.34
",b'Procyon',b'\xce\xb1 CMi\n',"11.4
","F5
","1.5
","1.9
","7.7
"
"0.34
",b'Procyon',b'\xce\xb1 CMi\n',"11.4
","F5
","1.5
","1.9
","7.7
"
"0.34
",b'Procyon',b'\xce\xb1 CMi\n',"11.4
","F5
","1.5
","1.9
","7.7
"
" 0.45
",b'Betelgeuse',b'\xce\xb1 Ori\n',None,"M2
","20
","950
","60,000
"
" 0.45
",b'Betelgeuse',b'\xce\xb1 Ori\n',None,"M2
","20
","950
","60,000
"
" 0.45
",b'Betelgeuse',b'\xce\xb1 Ori\n',None,"M2
","20
","950
","60,000
"
" 0.45
",b'Betelgeuse',b'\xce\xb1 Ori\n',None,"M2
","20
","950
","60,000
"
" 0.45
",b'Betelgeuse',b'\xce\xb1 Ori\n',None,"M2
","20
","950
","60,000
"
" 0.45
",b'Betelgeuse',b'\xce\xb1 Ori\n',None,"M2
","20
","950
","60,000
"
" 0.45
",b'Betelgeuse',b'\xce\xb1 Ori\n',None,"M2
","20
","950
","60,000
"
" 0.45
",b'Betelgeuse',b'\xce\xb1 Ori\n',None,"M2
","20
","950
","60,000
"
"0.46
",b'Achernar',b'\xce\xb1 Eri\n',"144
","B3
","6.7
","9.3
","3,000
"
"0.46
",b'Achernar',b'\xce\xb1 Eri\n',"144
","B3
","6.7
","9.3
","3,000
"
"0.46
",b'Achernar',b'\xce\xb1 Eri\n',"144
","B3
","6.7
","9.3
","3,000
"
"0.46
",b'Achernar',b'\xce\xb1 Eri\n',"144
","B3
","6.7
","9.3
","3,000
"
"0.46
",b'Achernar',b'\xce\xb1 Eri\n',"144
","B3
","6.7
","9.3
","3,000
"
"0.46
",b'Achernar',b'\xce\xb1 Eri\n',"144
","B3
","6.7
","9.3
","3,000
"
"0.46
",b'Achernar',b'\xce\xb1 Eri\n',"144
","B3
","6.7
","9.3
","3,000
"
"0.46
",b'Achernar',b'\xce\xb1 Eri\n',"144
","B3
","6.7
","9.3
","3,000
"
"0.61
",b'Hadar',b'\xce\xb2 Cen',"390
","B1
","10.5
","8.6
","42,000
"
"0.61
",b'Hadar',b'\xce\xb2 Cen',"390
","B1
","10.5
","8.6
","42,000
"
"0.61
",b'Hadar',b'\xce\xb2 Cen',"390
","B1
","10.5
","8.6
","42,000
"
"0.61
",b'Hadar',b'\xce\xb2 Cen',"390
","B1
","10.5
","8.6
","42,000
"
"0.61
",b'Hadar',b'\xce\xb2 Cen',"390
","B1
","10.5
","8.6
","42,000
"
"0.61
",b'Hadar',b'\xce\xb2 Cen',"390
","B1
","10.5
","8.6
","42,000
"
"0.61
",b'Hadar',b'\xce\xb2 Cen',"390
","B1
","10.5
","8.6
","42,000
"
"0.61
",b'Hadar',b'\xce\xb2 Cen',"390
","B1
","10.5
","8.6
","42,000
"
"0.76
",b'Altair',b'\xce\xb1 Aql\n',"17
","A7
","1.8
","1.8
","10.5
"
"0.76
",b'Altair',b'\xce\xb1 Aql\n',"17
","A7
","1.8
","1.8
","10.5
"
"0.76
",b'Altair',b'\xce\xb1 Aql\n',"17
","A7
","1.8
","1.8
","10.5
"
